Rank,Player,Team,RUSHING_ATT,RUSHING_YDS,RUSHING_Y/A,RUSHING_LG,RUSHING_20+,RUSHING_TD,RECEIVING_REC,RECEIVING_TGT,RECEIVING_YDS,RECEIVING_Y/R,RECEIVING_TD,MISC_FL,MISC_G,MISC_FPTS,MISC_FPTS/G,MISC_OWN
1,Saquon Barkley ,NYG,261,1307,5.0,78,16,11,91,121,721,7.9,4,0,16,385.8,24.1,100.0%
2,Christian McCaffrey ,CAR,219,1098,5.0,59,6,7,107,124,867,8.1,6,1,16,385.5,24.1,100.0%
3,Todd Gurley ,ATL,256,1251,4.9,36,11,17,59,81,580,9.8,4,1,14,372.1,26.6,98.5%
4,Alvin Kamara ,NO,194,883,4.6,49,1,14,81,105,709,8.8,4,0,15,354.2,23.6,100.0%
5,Ezekiel Elliott ,DAL,304,1435,4.7,41,11,6,77,95,567,7.4,3,1,15,329.2,21.9,100.0%
6,James Conner ,PIT,215,973,4.5,30,9,12,55,71,497,9.0,1,2,13,280.0,21.5,94.1%
7,James White ,NE,94,425,4.5,27,5,5,87,123,751,8.6,7,0,16,276.6,17.3,80.9%
8,Melvin Gordon ,DEN,175,885,5.1,34,9,10,50,66,490,9.8,4,0,12,275.5,23.0,97.3%
9,David Johnson ,HOU,258,940,3.6,53,2,7,50,76,446,8.9,3,2,16,246.7,15.4,94.6%
10,Joe Mixon ,CIN,237,1168,4.9,51,11,8,43,55,296,6.9,1,0,14,243.4,17.4,99.6%
11,Tarik Cohen ,CHI,99,444,4.5,32,7,3,71,90,725,10.2,5,3,16,233.9,14.6,76.2%
12,Kareem Hunt ,CLE,181,824,4.6,45,7,7,26,35,378,14.5,7,0,11,230.2,20.9,90.7%
13,Phillip Lindsay ,DEN,192,1037,5.4,65,8,9,35,47,241,6.9,1,0,15,222.8,14.9,81.2%
14,Kenyan Drake ,ARI,120,535,4.5,54,4,4,53,73,477,9.0,5,1,16,206.2,12.9,99.2%
15,Chris Carson ,SEA,247,1151,4.7,61,8,9,20,24,163,8.2,0,2,14,201.4,14.4,97.4%
16,Derrick Henry ,TEN,215,1059,4.9,99,4,12,15,18,99,6.6,0,1,16,201.3,12.6,99.9%
17,Nick Chubb ,CLE,192,996,5.2,92,11,8,20,29,149,7.5,2,0,16,194.5,12.2,99.8%
18,Tevin Coleman ,SF,167,800,4.8,65,8,4,32,44,276,8.6,5,0,16,193.6,12.1,55.5%
19,Adrian Peterson ,WAS,251,1042,4.2,90,5,7,20,26,208,10.4,1,2,16,189.0,11.8,27.9%
20,Jordan Howard ,MIA,250,935,3.7,42,5,9,20,27,145,7.3,0,1,16,180.0,11.3,77.6%
21,Marlon Mack ,IND,195,908,4.7,49,7,9,17,26,103,6.1,1,2,12,178.1,14.8,86.8%
22,T.J. Yeldon ,BUF,104,414,4.0,20,1,1,55,77,487,8.9,4,1,14,173.1,12.4,0.9%
23,Lamar Miller ,FA,210,973,4.6,97,6,5,25,35,163,6.5,1,1,14,172.6,12.3,2.2%
24,Aaron Jones ,GB,133,729,5.5,67,4,8,26,35,206,7.9,1,1,12,171.5,14.3,99.9%
25,Austin Ekeler ,LAC,106,554,5.2,41,4,3,39,53,404,10.4,3,1,14,168.8,12.1,99.2%
26,Matt Breida ,MIA,153,814,5.3,66,10,3,27,31,261,9.7,2,1,14,162.5,11.6,65.7%
27,Nyheim Hines ,IND,85,314,3.7,18,0,2,63,81,425,6.7,2,0,16,160.9,10.1,22.7%
28,Dion Lewis ,NYG,155,517,3.3,36,2,1,59,67,400,6.8,1,1,16,160.7,10.0,3.2%
29,Jalen Richard ,LV,55,259,4.7,30,3,1,68,81,607,8.9,0,2,16,156.6,9.8,2.9%
30,Dalvin Cook ,MIN,133,615,4.6,70,4,2,40,49,305,7.6,2,2,11,152.0,13.8,99.9%
31,Peyton Barber ,WAS,234,871,3.7,28,4,5,20,29,92,4.6,1,1,16,150.3,9.4,2.6%
32,Mark Ingram II ,BAL,138,645,4.7,38,3,6,21,27,170,8.1,1,1,12,142.5,11.9,95.7%
33,Isaiah Crowell ,FA,143,685,4.8,77,6,6,21,28,152,7.2,0,0,13,140.7,10.8,0.3%
34,Kerryon Johnson ,DET,118,641,5.4,71,6,3,32,39,213,6.7,1,1,10,139.4,13.9,85.7%
35,Sony Michel ,NE,209,931,4.5,34,4,6,7,11,50,7.1,0,1,13,139.1,10.7,79.5%
36,Mike Davis ,CAR,112,514,4.6,37,2,4,34,42,214,6.3,1,0,15,136.8,9.1,0.7%
37,Duke Johnson ,HOU,40,201,5.0,23,1,0,47,62,429,9.1,3,0,16,132.0,8.3,47.3%
38,Latavius Murray ,NO,140,578,4.1,38,6,6,22,26,141,6.4,0,0,16,131.9,8.2,62.6%
39,LeSean McCoy ,FA,161,514,3.2,28,3,3,34,46,238,7.0,0,0,14,127.2,9.1,2.2%
40,Leonard Fournette ,JAC,133,439,3.3,25,2,5,22,26,185,8.4,1,0,8,120.4,15.1,97.5%
41,Doug Martin ,FA,172,723,4.2,29,2,4,18,24,116,6.4,0,3,16,119.9,7.5,0.0%
42,Wendell Smallwood ,FA,87,364,4.2,15,0,3,28,35,230,8.2,2,1,16,117.4,7.3,0.1%
43,Theo Riddick ,FA,40,171,4.3,19,0,0,61,75,384,6.3,0,0,14,116.5,8.3,0.2%
44,Jamaal Williams ,GB,121,464,3.8,20,1,3,27,41,210,7.8,0,0,16,114.4,7.2,17.9%
45,Alex Collins ,FA,114,411,3.6,19,0,7,15,21,105,7.0,1,3,10,108.6,10.9,0.1%
46,Frank Gore ,NYJ,156,722,4.6,39,5,0,12,16,124,10.3,1,0,14,102.6,7.3,3.0%
47,Royce Freeman ,DEN,130,521,4.0,24,2,5,14,20,72,5.1,0,1,14,101.3,7.2,14.2%
48,Damien Williams ,KC,50,256,5.1,25,3,4,23,24,160,7.0,2,1,16,98.6,6.2,82.1%
49,Carlos Hyde ,SEA,172,571,3.3,22,1,5,10,16,33,3.3,0,1,14,98.4,7.0,14.9%
50,Ito Smith ,ATL,90,315,3.5,18,0,4,27,32,152,5.6,0,0,14,97.7,7.0,4.7%
51,Alfred Blue ,FA,150,499,3.3,17,0,2,20,27,154,7.7,0,0,16,97.3,6.1,0.1%
52,Giovani Bernard ,CIN,56,211,3.8,23,2,3,35,48,218,6.2,0,0,12,95.9,8.0,6.2%
53,Javorius Allen ,FA,41,110,2.7,17,0,3,35,43,196,5.6,2,1,14,93.6,6.7,0.1%
54,Chris Thompson ,JAC,43,178,4.1,16,0,0,41,55,268,6.5,1,0,10,91.6,9.2,4.8%
55,Gus Edwards ,BAL,137,718,5.2,43,4,2,2,2,20,10.0,0,0,11,89.8,8.2,7.3%
56,Jaylen Samuels ,PIT,56,256,4.6,25,1,0,26,29,199,7.7,3,0,14,87.8,6.3,6.0%
57,Devontae Booker ,LV,34,183,5.4,26,1,1,38,51,275,7.2,0,1,16,87.8,5.5,0.4%
58,LeGarrette Blount ,FA,154,418,2.7,27,2,5,10,15,67,6.7,0,1,16,86.5,5.4,0.0%
59,Elijah McGuire ,KC,92,276,3.0,34,1,3,19,31,193,10.2,1,2,8,85.9,10.7,0.1%
60,Jacquizz Rodgers ,FA,33,106,3.2,20,1,1,38,45,304,8.0,0,1,16,83.0,5.2,0.0%
61,Josh Adams ,NYJ,120,511,4.3,29,4,3,7,13,58,8.3,0,1,16,81.9,5.1,0.2%
62,Corey Clement ,PHI,68,259,3.8,32,2,2,22,25,192,8.7,0,0,11,81.1,7.4,0.3%
63,Marshawn Lynch ,FA,90,376,4.2,52,1,3,15,20,84,5.6,0,0,6,79.0,13.2,0.9%
64,Spencer Ware ,FA,51,246,4.8,34,2,2,20,23,224,11.2,0,0,13,79.0,6.1,0.1%
65,Chris Ivory ,FA,115,385,3.3,21,2,1,13,21,206,15.8,0,0,13,78.1,6.0,0.0%
66,Ty Montgomery ,NO,41,188,4.6,16,0,1,25,40,235,9.4,0,1,13,71.2,5.5,0.7%
67,Rashaad Penny ,SEA,85,419,4.9,38,4,2,9,12,75,8.3,0,0,14,70.4,5.0,19.7%
68,Alfred Morris ,FA,111,428,3.9,51,3,2,8,14,73,9.1,0,1,12,68.1,5.7,0.0%
69,Kyle Juszczyk ,SF,8,30,3.8,12,0,0,30,40,324,10.8,1,2,16,67.4,4.2,0.8%
70,C.J. Anderson ,FA,67,403,6.0,46,3,2,5,9,41,8.2,1,0,11,67.4,6.1,0.6%
71,Chase Edmonds ,ARI,60,208,3.5,29,2,2,20,23,103,5.2,0,0,16,63.1,3.9,24.9%
