Rank,Player,Team,RECEIVING_REC,RECEIVING_TGT,RECEIVING_YDS,RECEIVING_,Y/R,RECEIVING_LG,RECEIVING_20+,RECEIVING_TD,RUSHING_ATT,RUSHING_YDS,RUSHING_TD,MISC_FL,MISC_G,MISC_FPTS,MISC_FPTS/G,MISC_OWN
1,Travis Kelce ,KC,97,136,1229,12.7,47,13,5,1,4,1,1,16,254.3,15.9,100.0%
2,George Kittle ,SF,85,107,1053,12.4,61,16,5,5,22,0,0,14,222.5,15.9,99.9%
3,Darren Waller ,LV,90,117,1145,12.7,75,14,3,2,5,0,1,16,221.0,13.8,98.7%
4,Zach Ertz ,PHI,88,135,916,10.4,30,12,6,0,0,0,1,15,215.6,14.4,99.3%
5,Mark Andrews ,BAL,64,98,852,13.3,51,16,10,0,0,0,1,15,207.2,13.8,99.3%
6,Austin Hooper ,CLE,75,97,787,10.5,35,8,6,0,0,0,0,13,191.7,14.7,86.7%
7,Jared Cook ,NO,43,65,705,16.4,61,15,9,0,0,0,0,14,167.5,12.0,93.9%
8,Tyler Higbee ,LAR,69,89,734,10.6,33,11,3,0,0,0,0,15,160.4,10.7,93.0%
9,Hunter Henry ,LAC,55,76,652,11.9,30,8,5,0,0,0,1,12,150.2,12.5,95.2%
10,Dallas Goedert ,PHI,58,87,607,10.5,28,8,5,0,0,0,2,15,144.7,9.6,56.0%
11,Jason Witten ,LV,63,83,529,8.4,33,2,4,0,0,0,1,16,139.9,8.7,3.9%
12,Mike Gesicki ,MIA,51,89,570,11.2,34,7,5,0,0,0,1,16,136.0,8.5,69.9%
13,Greg Olsen ,SEA,52,82,597,11.5,41,6,2,0,0,0,0,14,123.7,8.8,35.5%
14,Kyle Rudolph ,MIN,39,48,367,9.4,32,3,6,0,0,0,0,16,113.7,7.1,17.1%
15,Jack Doyle ,IND,43,72,448,10.4,23,4,4,0,0,0,0,16,111.8,7.0,57.4%
16,Noah Fant ,DEN,40,66,562,14.1,75,10,3,3,-12,0,1,16,111.0,6.9,81.9%
17,Darren Fells ,HOU,34,48,341,10.0,24,2,7,0,0,0,0,16,110.1,6.9,3.4%
18,Evan Engram ,NYG,44,68,467,10.6,75,4,3,3,7,0,0,8,109.4,13.7,94.4%
19,Tyler Eifert ,JAC,43,63,436,10.1,27,4,3,0,0,0,0,16,106.6,6.7,5.8%
20,Jonnu Smith ,TEN,35,44,439,12.5,57,8,3,4,78,0,0,16,104.7,6.5,45.0%
21,Jimmy Graham ,CHI,38,60,447,11.8,48,7,3,0,0,0,0,16,100.7,6.3,8.8%
22,Ryan Griffin ,NYJ,34,41,320,9.4,45,4,5,0,0,0,0,13,98.0,7.5,1.3%
23,Jacob Hollister ,SEA,41,59,349,8.5,22,3,3,0,0,0,0,11,93.9,8.5,2.4%
24,Cameron Brate ,TB,36,55,311,8.6,37,1,4,0,0,0,0,16,91.1,5.7,2.6%
25,Jordan Akins ,HOU,36,55,418,11.6,53,4,2,0,0,0,0,16,89.8,5.6,1.3%
26,Gerald Everett ,LAR,37,60,408,11.0,33,6,2,1,0,0,0,13,89.8,6.9,10.2%
27,Eric Ebron ,PIT,31,52,375,12.1,48,4,3,0,0,0,0,11,86.5,7.9,44.7%
28,Blake Jarwin ,DAL,31,41,365,11.8,42,8,3,0,0,0,0,16,85.5,5.3,35.9%
29,O.J. Howard ,TB,34,53,459,13.5,33,8,1,0,0,0,1,14,83.9,6.0,35.9%
