Rank,Player,Team,RECEIVING_REC,RECEIVING_TGT,RECEIVING_YDS,RECEIVING_,Y/R,RECEIVING_LG,RECEIVING_20+,RECEIVING_TD,RUSHING_ATT,RUSHING_YDS,RUSHING_TD,MISC_FL,MISC_G,MISC_FPTS,MISC_FPTS/G,MISC_OWN
1,Michael Thomas ,NO,149,185,1725,11.6,49,17,9,1,-9,0,0,16,374.6,23.4,100.0%
2,Chris Godwin ,TB,86,121,1333,15.5,71,25,9,1,8,0,0,14,276.1,19.7,99.9%
3,Julio Jones ,ATL,99,157,1394,14.1,54,21,6,2,-3,0,0,15,274.1,18.3,99.9%
4,Cooper Kupp ,LAR,94,134,1161,12.4,66,21,10,2,4,0,0,16,270.5,16.9,97.1%
5,DeAndre Hopkins ,ARI,104,150,1165,11.2,43,16,7,2,18,0,0,15,269.5,18.0,100.0%
6,Keenan Allen ,LAC,104,149,1199,11.5,45,15,6,3,16,0,0,16,261.5,16.3,97.3%
7,Julian Edelman ,NE,100,153,1117,11.2,44,13,6,8,27,0,1,16,256.3,16.0,91.3%
8,Allen Robinson ,CHI,98,154,1147,11.7,49,15,7,1,2,0,0,16,254.9,15.9,98.8%
9,Kenny Golladay ,DET,65,116,1190,18.3,75,22,11,0,0,0,1,16,248.0,15.5,99.1%
10,Amari Cooper ,DAL,79,119,1189,15.1,53,17,8,1,6,0,0,16,246.5,15.4,99.3%
11,DeVante Parker ,MIA,72,128,1202,16.7,51,21,9,0,0,0,0,16,246.2,15.4,94.9%
12,Jarvis Landry ,CLE,83,138,1174,14.1,65,20,6,1,10,0,0,16,237.4,14.8,93.3%
13,Tyler Lockett ,SEA,82,110,1057,12.9,44,15,8,4,-5,0,0,16,235.2,14.7,97.4%
14,Robert Woods ,LAR,90,139,1134,12.6,48,14,2,17,115,1,0,15,232.9,15.5,95.2%
15,Mike Evans ,TB,67,118,1157,17.3,67,17,8,0,0,0,0,13,232.7,17.9,99.4%
16,D.J. Moore ,CAR,87,135,1175,13.5,52,13,4,6,40,0,1,15,230.5,15.4,98.3%
17,D.J. Chark ,JAC,73,118,1008,13.8,69,17,8,2,20,0,0,15,225.8,15.1,94.4%
18,Tyler Boyd ,CIN,90,148,1046,11.6,47,12,5,4,23,0,2,16,222.9,13.9,90.9%
19,Courtland Sutton ,DEN,72,124,1112,15.4,70,18,6,3,17,0,0,16,222.4,13.9,97.5%
20,John Brown ,BUF,72,115,1060,14.7,53,17,6,2,7,0,0,15,219.8,14.7,78.3%
21,A.J. Brown ,TEN,52,84,1051,20.2,91,15,8,3,60,1,0,16,217.1,13.6,97.3%
22,Michael Gallup ,DAL,66,113,1107,16.8,62,18,6,0,0,0,0,14,212.7,15.2,91.2%
23,Davante Adams ,GB,83,127,997,12.0,58,12,5,0,0,0,1,12,212.7,17.7,99.9%
24,Stefon Diggs ,BUF,63,94,1130,17.9,66,20,6,5,61,0,3,15,212.1,14.1,95.4%
25,Odell Beckham Jr. ,CLE,74,133,1035,14.0,89,16,4,3,10,0,1,16,201.3,12.6,98.8%
26,Jamison Crowder ,NYJ,78,122,833,10.7,41,11,6,1,4,0,0,16,197.7,12.4,72.2%
27,Calvin Ridley ,ATL,63,93,866,13.7,36,12,7,2,34,0,0,13,197.0,15.2,94.7%
28,Marvin Jones ,DET,62,91,779,12.6,47,12,9,2,0,0,0,13,193.9,14.9,81.6%
29,Terry McLaurin ,WAS,58,93,919,15.8,75,15,7,0,0,0,0,14,191.9,13.7,93.4%
30,Emmanuel Sanders ,NO,66,97,869,13.2,75,11,5,0,0,0,0,17,190.3,11.2,76.7%
31,Deebo Samuel ,SF,57,81,802,14.1,42,17,3,14,159,3,1,15,189.1,12.6,94.4%
32,Tyreek Hill ,KC,58,89,860,14.8,57,11,7,8,23,0,0,12,188.3,15.7,99.9%
33,D.K. Metcalf ,SEA,58,100,900,15.5,54,13,7,2,11,0,3,16,187.1,11.7,95.0%
34,Cole Beasley ,BUF,67,106,778,11.6,51,10,6,0,0,0,0,15,184.8,12.3,14.4%
35,Larry Fitzgerald ,ARI,75,109,804,10.7,54,10,4,0,0,0,1,16,177.4,11.1,26.2%
36,Curtis Samuel ,CAR,54,105,627,11.6,44,8,6,19,130,1,0,16,171.7,10.7,49.9%
37,Darius Slayton ,NYG,48,84,740,15.4,55,12,8,0,0,0,0,14,170.0,12.1,74.6%
38,Christian Kirk ,ARI,68,108,709,10.4,69,6,3,10,93,0,0,13,168.2,12.9,70.3%
39,Diontae Johnson ,PIT,59,92,680,11.5,45,7,5,4,41,0,2,16,163.1,10.2,67.9%
40,Robby Anderson ,CAR,52,96,779,15.0,92,13,5,1,4,0,0,16,162.3,10.1,60.1%
41,Mike Williams ,LAC,49,90,1001,20.4,56,17,2,1,2,0,0,15,161.3,10.8,63.2%
42,Dede Westbrook ,JAC,66,101,660,10.0,39,10,3,5,27,0,0,15,156.7,10.4,19.6%
43,Chris Conley ,JAC,47,90,775,16.5,70,13,5,0,0,0,0,16,156.5,9.8,4.0%
44,Randall Cobb ,HOU,55,83,828,15.1,59,15,3,3,11,0,1,15,154.9,10.3,10.5%
45,Golden Tate ,NYG,49,85,676,13.8,64,10,6,1,16,0,1,11,152.2,13.8,62.8%
46,Marquise Brown ,BAL,46,71,584,12.7,83,8,7,0,0,0,0,14,146.4,10.5,88.6%
47,Tyrell Williams ,LV,42,64,651,15.5,46,12,6,0,0,0,0,14,143.1,10.2,21.2%
48,Sterling Shepard ,NYG,57,83,576,10.1,36,8,3,6,72,0,0,10,141.8,14.2,76.4%
49,Danny Amendola ,DET,62,97,678,10.9,47,6,1,0,0,0,0,15,140.6,9.4,4.2%
50,Sammy Watkins ,KC,52,90,673,12.9,68,9,3,2,12,0,1,14,138.5,9.9,52.2%
51,Breshad Perriman ,NYJ,36,69,645,17.9,44,15,6,2,16,0,0,14,138.1,9.9,40.9%
52,Zach Pascal ,IND,41,72,607,14.8,37,11,5,2,16,0,0,16,135.3,8.5,4.4%
53,Will Fuller ,HOU,49,71,670,13.7,54,10,3,0,0,0,0,11,134.0,12.2,85.1%
54,Hunter Renfrow ,LV,49,71,605,12.3,65,7,4,0,0,0,0,13,133.5,10.3,35.2%
55,James Washington ,PIT,44,80,735,16.7,79,13,3,0,0,0,1,15,133.5,8.9,25.6%
56,Anthony Miller ,CHI,52,85,656,12.6,35,11,2,1,-1,0,1,16,127.5,8.0,42.4%
57,T.Y. Hilton ,IND,45,68,501,11.1,35,6,5,0,0,0,0,10,125.1,12.5,95.2%
58,Mohamed Sanu ,NE,59,89,520,8.8,28,3,2,3,11,0,0,15,124.1,8.3,5.7%
59,Alshon Jeffery ,PHI,43,73,490,11.4,38,6,4,1,2,1,0,10,122.2,12.2,45.8%
60,Kenny Stills ,HOU,40,55,561,14.0,45,9,4,0,0,0,0,13,120.1,9.2,12.9%
61,Mecole Hardman ,KC,26,41,538,20.7,83,9,6,4,17,0,2,16,119.5,7.5,57.9%
62,Brandin Cooks ,HOU,42,72,583,13.9,57,9,2,6,52,0,0,14,117.5,8.4,86.1%
63,Corey Davis ,TEN,43,69,601,14.0,38,10,2,0,0,0,0,15,115.1,7.7,8.7%
64,Adam Thielen ,MIN,30,48,418,13.9,44,8,6,4,6,1,0,10,114.4,11.4,99.2%
65,JuJu Smith-Schuster ,PIT,42,70,552,13.1,76,7,3,0,0,0,1,12,113.2,9.4,99.0%
66,Steven Sims ,WAS,34,56,310,9.1,65,2,4,9,85,1,0,16,109.5,6.8,5.2%
67,Allen Lazard ,GB,35,52,477,13.6,43,6,3,1,21,0,0,16,102.8,6.4,20.3%
